LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid_sd
SCH,7,Arlington County,614,Hoffman-Boston Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,68,NA,53,14,NA,10,Hoffman-Boston Elementary Arlington County,38.8615563,-77.0712021,5100270
SCH,7,Arlington County,613,Innovation Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,93,NA,86,37,NA,27,Innovation Elementary Arlington County,38.89253,-77.0869429,5100270
SCH,7,Arlington County,440,Jamestown Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,93,NA,87,37,NA,24,Jamestown Elementary Arlington County,38.9171087,-77.1397115,5100270
SCH,7,Arlington County,460,Long Branch Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,86,NA,77,34,NA,21,Long Branch Elementary Arlington County,38.8749325,-77.0895643,5100270
SCH,7,Arlington County,627,Montessori Public School of Arlington,Elem,PK,5,English: Reading,Gr 3,English Reading,NA,NA,68,NA,NA,19,Montessori Public School of Arlington Arlington County,38.8659095,-77.0893137,5100270
SCH,7,Arlington County,410,Nottingham Elementary,Elem,KG,5,English: Reading,Gr 3,English Reading,91,NA,87,35,NA,29,Nottingham Elementary Arlington County,38.9003391,-77.1507514,5100270
SCH,7,Arlington County,360,Oakridge Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,76,NA,67,12,NA,18,Oakridge Elementary Arlington County,38.8504041,-77.0702406,5100270
SCH,7,Arlington County,510,Randolph Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,60,NA,48,16,NA,8,Randolph Elementary Arlington County,38.8563469,-77.0979582,5100270
SCH,7,Arlington County,420,Taylor Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,93,NA,88,41,NA,19,Taylor Elementary Arlington County,38.906625,-77.1136075,5100270
SCH,7,Arlington County,211,Tuckahoe Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,95,NA,78,38,NA,20,Tuckahoe Elementary Arlington County,38.892546,-77.159356,5100270
