"","Tract","GEOID","NAME","ChildcareAware-0yr-min","ChildcareAware-1yr-min","ChildcareAware-2-3yr-min","ChildcareAware-4-5yr-min","ChildcareAware-5-12yr-min","ChildcareAware-0yr-avg","ChildcareAware-1yr-avg","ChildcareAware-2-3yr-avg","ChildcareAware-4-5yr-avg","ChildcareAware-5-12yr-avg","ChildcareAware-0yr-max","ChildcareAware-1yr-max","ChildcareAware-2-3yr-max","ChildcareAware-4-5yr-max","ChildcareAware-5-12yr-max"
"107","51059420100","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"108","51550020809","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"109","51199050203","51199","York",813.33937281746,730.30943234127,628.41263640873,578.119944940476,490.980423280423,906.17876984127,836.475257936508,734.315758928571,673.671609623016,574.23897707231,1015.08906746032,941.491845238095,849.456669146826,784.521450892857,671.005996472663
"110","51710003700","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"111","51510200304","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"112","51810046223","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"113","51570830200","51570","Colonial Heights",820,780,660,660,660,820,780,780,780,660,820,780,900,900,660
"114","51013101602","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"115","51085321003","51085","Hanover",880,832,640,472,420,996,916,780,660,600,1196,980,904,800,760
"116","51101950101","51101","King William",791.301079365079,720.431238095238,535.28253968254,481.465714285714,522.97,883.81746031746,782.938095238095,656.176190476191,591.487301587302,584.366666666667,1001.40158730159,850.12380952381,769.239682539683,715.414285714286,648.828333333333
"117","51153901209","51153","Prince William",800,720,640,640,500,1224,1180,1076,1028,792,1616,1540,1452,1360,1200
"118","51059440201","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"119","51540000201","51540","Charlottesville",1100,1040,900,900,404,1304,1268,1168,900,441.333333333333,1590,1590,1590,900,480
"120","51153901005","51153","Prince William",800,720,640,640,500,1224,1180,1076,1028,792,1616,1540,1452,1360,1200
"121","51059452502","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"122","51153900302","51153","Prince William",800,720,640,640,500,1224,1180,1076,1028,792,1616,1540,1452,1360,1200
"123","51650010312","51650","Hampton",520,520,420,380,360,784,772,640,588,460,1064,1064,876,800,600
"124","51013101401","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"125","51013101703","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"126","51013101705","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"127","51013102804","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"128","51510201804","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"129","51059452301","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"130","51770002502","51770","Roanoke",220,220,192,200,340,1084,980,708,656,516,1480,1360,932,860,640
"131","51650010701","51650","Hampton",520,520,420,380,360,784,772,640,588,460,1064,1064,876,800,600
"132","51019030501","51019","Bedford",560,560,500,500,380,560,560,500,500,380,560,560,500,500,380
"133","51800065402","51800","Suffolk",680,680,520,520,604,796,744,624,604,604,912,812,732,672,604
"134","51069050804","51069","Frederick",700,680,500,500,280,812,788,624,600,508,1024,984,944,864,864
"135","51083930400","51083","Halifax",571.536388888889,513.341944444444,510,410,428.972222222222,640.333333333333,577.805555555556,508,408,498.083333333333,737.722222222222,678.083333333333,510,410,563.75
"136","51059491501","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"137","51650010702","51650","Hampton",520,520,420,380,360,784,772,640,588,460,1064,1064,876,800,600
"138","51760010202","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"139","51510200202","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"140","51003010100","51003","Albemarle",820,760,680,460,404,928,852,812,680,441.333333333333,1040,944,944,900,480
"141","51041100406","51041","Chesterfield",827.08,827.08,576,576,516,1032,992,848,808,724,1248,1200,1088,1020,920
"142","51700032223","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"143","51041100210","51041","Chesterfield",827.08,827.08,576,576,516,1032,992,848,808,724,1248,1200,1088,1020,920
"144","51760070901","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"145","51107611804","51107","Loudoun",1180,1180,1000,992,500,1556,1488,1360,1280,1156,1820,1780,1720,1640,1600
"146","51510200409","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"147","51680001100","51680","Lynchburg",420,420,320,320,320,660,636,516,496,464,796,796,744,652,560
"148","51670820600","51670","Hopewell",763.616444444444,737.823851851852,586.824305555555,560.617361111111,527.883333333333,946.777777777778,896.474074074074,775.351388888889,745.775694444445,659.805555555556,1202.1537037037,1119.61666666667,1007.54236111111,1019.01458333333,822.661111111111
"149","51760011100","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"150","51059461606","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"151","51510200110","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"152","51710006603","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"153","51059452102","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"154","51740213001","51740","Portsmouth",696.833333333333,613.333333333333,503.333333333333,480,425.333333333333,890,813.333333333333,704,665.333333333333,568,1082,1002,907.333333333333,851.333333333333,725
"155","51059430600","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"156","51153900702","51153","Prince William",800,720,640,640,500,1224,1180,1076,1028,792,1616,1540,1452,1360,1200
"157","51700032130","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"158","51013101900","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"159","51001990100","51001","Accomack",600,600,560,560,560,600,600,560,560,560,600,600,560,560,560
"160","51041100806","51041","Chesterfield",827.08,827.08,576,576,516,1032,992,848,808,724,1248,1200,1088,1020,920
"161","51059471000","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"162","51059440701","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"163","51059491405","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"164","51700032007","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"165","51740211700","51740","Portsmouth",696.833333333333,613.333333333333,503.333333333333,480,425.333333333333,890,813.333333333333,704,665.333333333333,568,1082,1002,907.333333333333,851.333333333333,725
"166","51059480204","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"167","51013101000","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"168","51059471203","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"169","51810044600","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"170","51760030100","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"171","51013100600","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"172","51059422401","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"173","51700031604","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"174","51059452700","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"175","51087200106","51087","Henrico",620,580,520,460,400,1040,964,796,768,624,1738,1562,1298,1480,1000
"176","51760020300","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"177","51810046019","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"178","51059431801","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"179","51810045805","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"180","51013103505","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"181","51059440300","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"182","51810046013","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"183","51109950102","51109","Louisa",805.784479166667,743.044895833333,578.75,517.25,513.047916666667,895.55,803.935416666667,683.5,624.5,567.697916666667,998.704166666667,862.75625,765,729.5,620.78125
"184","51087200126","51087","Henrico",620,580,520,460,400,1040,964,796,768,624,1738,1562,1298,1480,1000
"185","51059450200","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"186","51510200705","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"187","51177020112","51177","Spotsylvania",740,708,660,620,368,800,792,716,692,524,868,868,788,768,680
"188","51059491401","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"189","51800075203","51800","Suffolk",680,680,520,520,604,796,744,624,604,604,912,812,732,672,604
"190","51059421600","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"191","51510201202","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"192","51059421101","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"193","51680000802","51680","Lynchburg",420,420,320,320,320,660,636,516,496,464,796,796,744,652,560
"194","51710002700","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"195","51029930202","51029","Buckingham",662.551666666667,606.718333333333,540.933333333333,475.6,427.166666666667,770,708.166666666667,636.8,589.733333333333,507.166666666667,875.666666666667,816.5,727.866666666667,704.133333333333,582.5
"196","51013101804","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"197","51740212500","51740","Portsmouth",696.833333333333,613.333333333333,503.333333333333,480,425.333333333333,890,813.333333333333,704,665.333333333333,568,1082,1002,907.333333333333,851.333333333333,725
"198","51740212701","51740","Portsmouth",696.833333333333,613.333333333333,503.333333333333,480,425.333333333333,890,813.333333333333,704,665.333333333333,568,1082,1002,907.333333333333,851.333333333333,725
"199","51059460501","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"200","51710002300","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"201","51059482303","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"202","51710000300","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"203","51107611207","51107","Loudoun",1180,1180,1000,992,500,1556,1488,1360,1280,1156,1820,1780,1720,1640,1600
"204","51710000500","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"205","51081880200","51081","Greensville",783.54,766.873333333333,490.375,489.125,502.333333333333,904,867.333333333333,527.25,521.625,555,1030.66666666667,990,559.625,552.625,605
"206","51007930102","51007","Amelia",703.54,693.54,558,538,518,860,830,756,706,626,1024,990,914,870,730
"207","51011040300","51011","Appomattox",526.666666666667,473.333333333333,406.666666666667,380,386.666666666667,640,582.666666666667,508,482.666666666667,481.333333333333,734.666666666667,692,621.333333333333,590.666666666667,560
"208","51700032212","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"209","51760060501","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"210","51013103000","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"211","51770001900","51770","Roanoke",220,220,192,200,340,1084,980,708,656,516,1480,1360,932,860,640
"212","51107611902","51107","Loudoun",1180,1180,1000,992,500,1556,1488,1360,1280,1156,1820,1780,1720,1640,1600
"213","51810045431","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"214","51810046221","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"215","51013101603","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
