"geoid","year","NAME","measure","region_type","value"
51059422202,2021,"Census Tract 4222.02, Fairfax County, Virginia","average_years_schooling","tract",14.7069134351743
51059422301,2021,"Census Tract 4223.01, Fairfax County, Virginia","average_years_schooling","tract",15.4682372738746
51059422302,2021,"Census Tract 4223.02, Fairfax County, Virginia","average_years_schooling","tract",15.2037366548043
51059422401,2021,"Census Tract 4224.01, Fairfax County, Virginia","average_years_schooling","tract",15.4911792014856
51059422402,2021,"Census Tract 4224.02, Fairfax County, Virginia","average_years_schooling","tract",15.0111323916687
51059422403,2021,"Census Tract 4224.03, Fairfax County, Virginia","average_years_schooling","tract",15.0327537403963
51059430101,2021,"Census Tract 4301.01, Fairfax County, Virginia","average_years_schooling","tract",15.9239716312057
51059430102,2021,"Census Tract 4301.02, Fairfax County, Virginia","average_years_schooling","tract",15.1629974597798
51059430201,2021,"Census Tract 4302.01, Fairfax County, Virginia","average_years_schooling","tract",15.1365874855156
51059430202,2021,"Census Tract 4302.02, Fairfax County, Virginia","average_years_schooling","tract",15.0863444912436
51059430203,2021,"Census Tract 4302.03, Fairfax County, Virginia","average_years_schooling","tract",15.599910793934
51059430400,2021,"Census Tract 4304, Fairfax County, Virginia","average_years_schooling","tract",14.8511276639768
51059430500,2021,"Census Tract 4305, Fairfax County, Virginia","average_years_schooling","tract",15.0489795918367
51059430600,2021,"Census Tract 4306, Fairfax County, Virginia","average_years_schooling","tract",13.3983414634146
51059430700,2021,"Census Tract 4307, Fairfax County, Virginia","average_years_schooling","tract",14.3868294810292
51059430801,2021,"Census Tract 4308.01, Fairfax County, Virginia","average_years_schooling","tract",15.3860197368421
51059430802,2021,"Census Tract 4308.02, Fairfax County, Virginia","average_years_schooling","tract",15.1923325784536
51059430901,2021,"Census Tract 4309.01, Fairfax County, Virginia","average_years_schooling","tract",15.0140449438202
51059430902,2021,"Census Tract 4309.02, Fairfax County, Virginia","average_years_schooling","tract",15.0268292682927
51059431001,2021,"Census Tract 4310.01, Fairfax County, Virginia","average_years_schooling","tract",15.1309314586995
51059431002,2021,"Census Tract 4310.02, Fairfax County, Virginia","average_years_schooling","tract",15.4080278128951
51059431300,2021,"Census Tract 4313, Fairfax County, Virginia","average_years_schooling","tract",14.9227096389138
51059431400,2021,"Census Tract 4314, Fairfax County, Virginia","average_years_schooling","tract",15.0638512539637
51059431500,2021,"Census Tract 4315, Fairfax County, Virginia","average_years_schooling","tract",15.7039323273891
51059431601,2021,"Census Tract 4316.01, Fairfax County, Virginia","average_years_schooling","tract",15.6118957088539
51059431602,2021,"Census Tract 4316.02, Fairfax County, Virginia","average_years_schooling","tract",14.4762777242044
51059431801,2021,"Census Tract 4318.01, Fairfax County, Virginia","average_years_schooling","tract",14.9014084507042
51059431802,2021,"Census Tract 4318.02, Fairfax County, Virginia","average_years_schooling","tract",15.6148115687993
51059431900,2021,"Census Tract 4319, Fairfax County, Virginia","average_years_schooling","tract",15.7152292152292
51059432000,2021,"Census Tract 4320, Fairfax County, Virginia","average_years_schooling","tract",15.1308685446009
51059432100,2021,"Census Tract 4321, Fairfax County, Virginia","average_years_schooling","tract",15.5060835251562
51059432201,2021,"Census Tract 4322.01, Fairfax County, Virginia","average_years_schooling","tract",15.288257050393
51059432202,2021,"Census Tract 4322.02, Fairfax County, Virginia","average_years_schooling","tract",15.3724128540305
51059432300,2021,"Census Tract 4323, Fairfax County, Virginia","average_years_schooling","tract",15.8845878136201
51059432401,2021,"Census Tract 4324.01, Fairfax County, Virginia","average_years_schooling","tract",16.2230263157895
51059432402,2021,"Census Tract 4324.02, Fairfax County, Virginia","average_years_schooling","tract",15.685008355216
51059432500,2021,"Census Tract 4325, Fairfax County, Virginia","average_years_schooling","tract",15.6350282485876
51059432600,2021,"Census Tract 4326, Fairfax County, Virginia","average_years_schooling","tract",15.9038729451101
51059432701,2021,"Census Tract 4327.01, Fairfax County, Virginia","average_years_schooling","tract",15.922187377499
51059432702,2021,"Census Tract 4327.02, Fairfax County, Virginia","average_years_schooling","tract",15.1320259419395
51059432800,2021,"Census Tract 4328, Fairfax County, Virginia","average_years_schooling","tract",15.112714987715
51059440100,2021,"Census Tract 4401, Fairfax County, Virginia","average_years_schooling","tract",16.1897137745975
51059440201,2021,"Census Tract 4402.01, Fairfax County, Virginia","average_years_schooling","tract",16.1728468899522
51059440202,2021,"Census Tract 4402.02, Fairfax County, Virginia","average_years_schooling","tract",14.7264187866928
51059440300,2021,"Census Tract 4403, Fairfax County, Virginia","average_years_schooling","tract",16.2012310606061
51059440501,2021,"Census Tract 4405.01, Fairfax County, Virginia","average_years_schooling","tract",15.7191332788226
51059440503,2021,"Census Tract 4405.03, Fairfax County, Virginia","average_years_schooling","tract",13.3985143739147
51059440504,2021,"Census Tract 4405.04, Fairfax County, Virginia","average_years_schooling","tract",12.0900229357798
51059440505,2021,"Census Tract 4405.05, Fairfax County, Virginia","average_years_schooling","tract",15.7439916405434
51059440600,2021,"Census Tract 4406, Fairfax County, Virginia","average_years_schooling","tract",15.1230705047977
51059440701,2021,"Census Tract 4407.01, Fairfax County, Virginia","average_years_schooling","tract",16.0625289485873
51059440702,2021,"Census Tract 4407.02, Fairfax County, Virginia","average_years_schooling","tract",15.848957084632
51059440800,2021,"Census Tract 4408, Fairfax County, Virginia","average_years_schooling","tract",15.7307605760576
51059450100,2021,"Census Tract 4501, Fairfax County, Virginia","average_years_schooling","tract",14.305956258725
51059450200,2021,"Census Tract 4502, Fairfax County, Virginia","average_years_schooling","tract",13.8069262782402
51059450300,2021,"Census Tract 4503, Fairfax County, Virginia","average_years_schooling","tract",14.7415540540541
51059450400,2021,"Census Tract 4504, Fairfax County, Virginia","average_years_schooling","tract",15.1072623029145
51059450500,2021,"Census Tract 4505, Fairfax County, Virginia","average_years_schooling","tract",13.312030075188
51059450601,2021,"Census Tract 4506.01, Fairfax County, Virginia","average_years_schooling","tract",14.7976082349379
51059450602,2021,"Census Tract 4506.02, Fairfax County, Virginia","average_years_schooling","tract",13.7410761854022
51059450701,2021,"Census Tract 4507.01, Fairfax County, Virginia","average_years_schooling","tract",15.4705225547119
51059450702,2021,"Census Tract 4507.02, Fairfax County, Virginia","average_years_schooling","tract",12.2551919446193
51059450800,2021,"Census Tract 4508, Fairfax County, Virginia","average_years_schooling","tract",14.1319714656291
51059450900,2021,"Census Tract 4509, Fairfax County, Virginia","average_years_schooling","tract",15.3130553656869
51059451000,2021,"Census Tract 4510, Fairfax County, Virginia","average_years_schooling","tract",14.4601787101787
51059451100,2021,"Census Tract 4511, Fairfax County, Virginia","average_years_schooling","tract",15.4184479553903
